type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
1.0,7.0,0.27,0.36,20.76,0.04,44.74,171.79,1.0,3.0,0.45,8.82,6.0
1.0,6.28,0.29,0.34,1.53,0.05,27.18,131.47,0.99,3.3,0.49,9.56,5.99
1.0,8.12,0.27,0.4,6.97,0.05,30.0,98.75,1.0,3.26,0.52,10.11,6.0
1.0,7.24,0.23,0.32,8.33,0.06,46.59,188.04,1.0,3.19,0.4,9.88,6.02
1.0,7.2,0.22,0.32,8.37,0.06,47.83,186.15,1.0,3.19,0.4,9.91,6.0
1.0,6.56,0.28,0.3,6.94,0.05,30.02,97.61,1.0,3.26,0.44,10.09,6.03
1.0,6.24,0.32,0.16,6.96,0.05,30.02,135.69,0.99,3.18,0.47,9.6,6.0
1.0,7.01,0.27,0.36,20.72,0.05,45.05,171.52,1.0,3.0,0.45,8.76,6.02
1.0,6.3,0.3,0.34,1.74,0.05,14.35,130.9,0.99,3.3,0.49,9.5,5.97
1.0,8.11,0.23,0.43,1.31,0.04,27.75,128.89,0.99,3.22,0.5,11.02,6.02
1.0,8.14,0.27,0.41,2.11,0.03,10.98,65.69,0.99,2.98,0.56,12.04,4.97
1.0,8.62,0.23,0.4,4.01,0.04,17.55,106.83,0.99,3.14,0.53,9.69,5.04
1.0,7.9,0.18,0.36,1.33,0.04,15.81,74.98,0.99,3.18,0.63,10.78,4.97
1.0,6.53,0.16,0.4,1.44,0.04,47.59,142.97,0.99,3.33,0.52,12.4,6.96
1.0,8.3,0.42,0.62,19.27,0.04,40.99,171.58,1.0,2.98,0.59,9.73,4.99
1.0,6.58,0.17,0.38,1.35,0.04,27.89,111.32,0.99,3.25,0.55,11.43,6.98
1.0,6.31,0.48,0.04,1.09,0.04,29.93,99.71,0.99,3.24,0.36,9.57,6.02
1.0,6.21,0.66,0.48,1.17,0.03,28.77,76.4,0.99,3.33,0.39,12.8,7.99
1.0,7.37,0.34,0.42,1.08,0.03,25.63,171.47,0.99,3.12,0.53,11.3,5.98
1.0,6.5,0.31,0.14,7.77,0.04,39.13,134.0,1.0,3.22,0.5,9.49,5.01
1.0,6.17,0.66,0.48,1.3,0.03,29.17,74.75,0.99,3.33,0.39,12.81,8.01
1.0,6.37,0.31,0.38,2.93,0.04,19.14,101.46,0.99,3.17,0.35,11.01,7.01
1.0,6.83,0.26,0.42,1.72,0.05,40.56,122.05,0.99,3.47,0.48,10.52,8.03
1.0,7.62,0.67,0.14,1.35,0.07,25.22,167.1,0.99,3.05,0.5,9.28,4.99
1.0,6.6,0.27,0.41,1.1,0.05,15.62,142.48,1.0,3.23,0.46,10.04,6.0
1.0,7.0,0.25,0.32,9.08,0.05,56.06,244.9,1.0,3.23,0.5,10.37,6.04
1.0,6.92,0.24,0.35,1.22,0.05,34.6,144.86,0.99,3.45,0.44,10.02,6.02
1.0,7.0,0.28,0.39,8.65,0.05,31.81,141.04,1.0,3.38,0.52,10.5,6.01
1.0,7.35,0.27,0.48,1.12,0.05,17.15,130.42,0.99,3.19,0.48,11.63,6.02
1.0,7.18,0.32,0.35,2.22,0.03,37.37,112.71,0.99,3.1,0.71,12.31,7.0
1.0,8.48,0.24,0.39,10.57,0.04,20.58,142.02,1.0,3.2,0.53,10.03,5.99
1.0,8.32,0.14,0.34,1.07,0.04,7.18,47.23,0.99,3.47,0.4,10.21,5.99
1.0,7.38,0.25,0.36,1.6,0.05,30.76,101.23,0.99,3.19,0.44,10.84,6.01
1.0,6.15,0.12,0.35,1.61,0.06,43.47,117.88,0.99,3.3,0.68,8.96,6.03
1.0,7.26,0.29,0.43,1.57,0.08,21.21,123.36,0.99,3.19,0.42,12.81,5.0
1.0,6.09,0.39,0.24,5.46,0.05,44.95,149.51,0.99,3.25,0.56,9.93,5.01
1.0,7.01,0.24,0.32,1.11,0.05,37.82,138.48,0.99,3.13,0.28,11.13,6.0
1.0,7.29,0.24,0.39,17.3,0.06,44.85,151.7,1.0,3.21,0.36,8.62,4.99
1.0,7.34,0.24,0.39,17.9,0.06,45.05,150.5,1.0,3.22,0.36,8.61,5.02
1.0,6.74,0.23,0.39,2.47,0.17,62.88,157.15,0.99,3.11,0.36,9.41,6.01
1.0,6.72,0.25,0.39,2.99,0.17,62.86,157.03,0.99,3.09,0.34,9.39,6.0
1.0,6.99,0.31,0.26,7.27,0.07,28.09,157.77,1.0,3.13,0.46,9.77,5.98
1.0,6.6,0.24,0.27,1.51,0.06,33.22,151.8,0.99,3.23,0.46,9.52,5.98
1.0,6.68,0.23,0.26,1.37,0.06,32.52,154.41,0.99,3.24,0.56,9.5,6.0
1.0,7.4,0.17,0.31,1.47,0.06,37.54,166.82,0.99,3.16,0.53,9.99,7.02
1.0,6.21,0.44,0.26,4.24,0.06,63.08,205.39,0.99,3.27,0.52,9.79,4.01
1.0,7.04,0.47,0.25,4.32,0.07,62.08,207.53,0.99,3.25,0.52,9.81,4.98
1.0,6.95,0.31,0.26,5.83,0.07,27.17,160.61,1.0,3.13,0.46,9.77,6.04
1.0,6.92,0.19,0.35,4.92,0.07,31.97,150.66,0.99,3.37,0.48,9.84,5.0
1.0,7.19,0.19,0.31,1.62,0.06,30.72,173.19,0.99,3.35,0.44,10.76,6.0
1.0,6.58,0.25,0.29,1.14,0.07,38.7,123.18,0.99,3.34,0.58,10.99,7.0
1.0,6.84,0.16,0.33,1.22,0.06,20.88,81.87,0.99,3.32,0.46,10.89,7.01
1.0,6.42,0.18,0.35,0.96,0.04,39.3,106.85,0.99,3.31,0.35,10.92,6.0
1.0,6.76,0.2,0.59,0.85,0.15,37.95,130.29,0.99,3.13,0.38,9.07,5.99
1.0,6.87,0.25,0.35,1.37,0.04,29.05,192.67,0.99,3.23,0.52,10.99,5.99
1.0,7.19,0.21,0.34,11.87,0.04,36.81,213.87,1.0,3.09,0.5,9.6,5.98
1.0,5.99,0.19,0.26,12.51,0.05,49.3,145.44,1.0,3.3,0.36,8.91,6.0
1.0,6.59,0.38,0.15,4.72,0.04,20.46,76.19,0.99,3.11,0.38,10.26,6.0
1.0,7.38,0.2,0.37,1.32,0.04,44.35,111.17,0.99,3.37,0.35,9.93,5.99
1.0,6.81,0.21,0.24,4.94,0.09,29.66,122.72,1.0,3.03,0.46,8.62,6.0
1.0,5.97,0.19,0.26,12.41,0.05,49.52,146.78,1.0,3.3,0.36,8.88,6.01
1.0,7.02,0.47,0.07,1.13,0.04,16.58,152.81,0.99,3.02,0.35,10.54,5.01
1.0,6.6,0.38,0.15,4.61,0.04,25.44,77.67,0.99,3.11,0.38,10.2,6.0
1.0,7.16,0.24,0.27,1.46,0.04,23.54,121.64,0.99,3.15,0.46,10.28,5.99
1.0,6.18,0.35,0.03,1.26,0.06,29.31,119.92,0.99,3.22,0.54,9.07,4.98
1.0,6.43,0.26,0.24,6.41,0.04,26.97,125.99,0.99,3.22,0.49,12.64,6.94
1.0,6.71,0.25,0.13,1.22,0.04,81.04,174.55,0.99,3.13,0.42,9.8,5.01
1.0,6.72,0.23,0.31,2.19,0.05,29.43,97.1,0.99,3.33,0.64,10.73,8.04
1.0,7.37,0.25,0.29,10.08,0.05,21.14,106.6,1.0,3.13,0.35,9.48,5.01
1.0,6.82,0.27,0.43,7.83,0.06,51.93,244.49,1.0,3.11,0.51,8.96,6.01
1.0,6.77,0.3,0.23,4.55,0.06,50.65,238.5,1.0,3.33,0.6,9.5,5.0
1.0,5.99,0.27,0.28,4.98,0.06,31.08,200.52,1.0,3.7,0.71,10.01,5.01
