type,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,cluster,pc1,pc2
1.0,7.0,0.27,0.36,20.76,0.04,44.74,171.79,1.0,3.0,0.45,8.82,6.0,0,2.4425266580551344,2.856352259263489
1.0,6.28,0.29,0.34,1.53,0.05,27.18,131.47,0.99,3.3,0.49,9.56,5.99,2,0.6205923281581213,-0.8807006283585563
1.0,8.12,0.27,0.4,6.97,0.05,30.0,98.75,1.0,3.26,0.52,10.11,6.0,0,0.14545102859960524,0.8746211811690073
1.0,7.24,0.23,0.32,8.33,0.06,46.59,188.04,1.0,3.19,0.4,9.88,6.02,0,1.6187508212867516,1.3113555309268778
1.0,7.2,0.22,0.32,8.37,0.06,47.83,186.15,1.0,3.19,0.4,9.91,6.0,0,1.6602090747055822,1.29756680005912
1.0,6.56,0.28,0.3,6.94,0.05,30.02,97.61,1.0,3.26,0.44,10.09,6.03,0,0.4873377285098039,0.33124248233652254
1.0,6.24,0.32,0.16,6.96,0.05,30.02,135.69,0.99,3.18,0.47,9.6,6.0,2,0.9621999737253235,-0.521736820906592
1.0,7.01,0.27,0.36,20.72,0.05,45.05,171.52,1.0,3.0,0.45,8.76,6.02,0,2.3588730978104837,2.9575882262408895
1.0,6.3,0.3,0.34,1.74,0.05,14.35,130.9,0.99,3.3,0.49,9.5,5.97,2,0.3535774971951055,-0.9709320375778091
1.0,8.11,0.23,0.43,1.31,0.04,27.75,128.89,0.99,3.22,0.5,11.02,6.02,2,0.5761736583187335,-0.956053041704109
1.0,8.14,0.27,0.41,2.11,0.03,10.98,65.69,0.99,2.98,0.56,12.04,4.97,2,-0.05110414741040265,-1.4247024610377033
1.0,8.62,0.23,0.4,4.01,0.04,17.55,106.83,0.99,3.14,0.53,9.69,5.04,2,0.30304218546375244,-0.1849317882195889
1.0,7.9,0.18,0.36,1.33,0.04,15.81,74.98,0.99,3.18,0.63,10.78,4.97,2,-0.15349550840813753,-1.1659481620171712
1.0,6.53,0.16,0.4,1.44,0.04,47.59,142.97,0.99,3.33,0.52,12.4,6.96,2,1.3090480346989508,-1.7656240959705742
1.0,8.3,0.42,0.62,19.27,0.04,40.99,171.58,1.0,2.98,0.59,9.73,4.99,0,1.6627273282064539,3.1755183863521017
1.0,6.58,0.17,0.38,1.35,0.04,27.89,111.32,0.99,3.25,0.55,11.43,6.98,2,0.7010035367611799,-1.5879732267622273
1.0,6.31,0.48,0.04,1.09,0.04,29.93,99.71,0.99,3.24,0.36,9.57,6.02,2,0.14146660789609858,-1.4847568500513555
1.0,6.21,0.66,0.48,1.17,0.03,28.77,76.4,0.99,3.33,0.39,12.8,7.99,2,-0.2022860994021994,-2.3691952419327094
1.0,7.37,0.34,0.42,1.08,0.03,25.63,171.47,0.99,3.12,0.53,11.3,5.98,2,0.8700540205162737,-1.019797378911168
1.0,6.5,0.31,0.14,7.77,0.04,39.13,134.0,1.0,3.22,0.5,9.49,5.01,0,0.8170917453063049,0.6628853762687402
1.0,6.17,0.66,0.48,1.3,0.03,29.17,74.75,0.99,3.33,0.39,12.81,8.01,2,-0.19208690673909043,-2.372361154709929
1.0,6.37,0.31,0.38,2.93,0.04,19.14,101.46,0.99,3.17,0.35,11.01,7.01,2,0.7617254189948045,-1.4928477607293518
1.0,6.83,0.26,0.42,1.72,0.05,40.56,122.05,0.99,3.47,0.48,10.52,8.03,2,0.6429265089660758,-1.1462626604614927
1.0,7.62,0.67,0.14,1.35,0.07,25.22,167.1,0.99,3.05,0.5,9.28,4.99,2,-0.3202390323432381,-0.08025519041439584
1.0,6.6,0.27,0.41,1.1,0.05,15.62,142.48,1.0,3.23,0.46,10.04,6.0,2,0.3330907946523949,0.08697497208681342
1.0,7.0,0.25,0.32,9.08,0.05,56.06,244.9,1.0,3.23,0.5,10.37,6.04,0,2.0986988056177274,1.3942323923843516
1.0,6.92,0.24,0.35,1.22,0.05,34.6,144.86,0.99,3.45,0.44,10.02,6.02,2,0.7457303309728762,-1.0692074706246755
